SECCION,ANIO,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_MC,VOTOS_NULOS,VOTOS_TOTALES,LISTA_NOMINAL_HIST,PARTICIPACION_PCT
5235,2015,510.0,102.0,27.0,32.0,680.0,0.0,0.0
5235,2018,2875.0,342.0,18.0,16.0,842.0,1078.0,78.11
5235,2021,2823.0,250.0,25.0,19.0,748.0,1075.0,69.58
5235,2024,2838.0,250.0,53.0,6.0,798.0,1051.0,75.93
5236,2012,1200.0,626.0,22.0,26.0,1223.0,0.0,0.0
5236,2015,897.0,93.0,27.0,36.0,1056.0,0.0,0.0
5236,2018,4246.0,597.0,21.0,13.0,1303.0,1572.0,82.89
5236,2021,4147.0,551.0,14.0,13.0,1154.0,1531.0,75.38
5236,2024,4181.0,307.0,87.0,14.0,1251.0,1517.0,82.47
5237,2012,1094.0,550.0,14.0,38.0,1126.0,0.0,0.0
5237,2015,734.0,115.0,11.0,38.0,894.0,0.0,0.0
5237,2018,4126.0,489.0,23.0,31.0,1171.0,1552.0,75.45
5237,2021,4054.0,425.0,23.0,22.0,1014.0,1576.0,64.34
5237,2024,4292.0,443.0,99.0,24.0,1226.0,1610.0,76.15
5238,2012,791.0,388.0,7.0,29.0,794.0,0.0,0.0
5238,2015,536.0,67.0,13.0,22.0,659.0,0.0,0.0
5238,2018,2636.0,306.0,10.0,16.0,811.0,967.0,83.87
5238,2021,2544.0,266.0,7.0,11.0,718.0,934.0,76.87
5238,2024,2497.0,180.0,45.0,8.0,733.0,899.0,81.54
5239,2012,709.0,370.0,19.0,17.0,703.0,0.0,0.0
5239,2015,452.0,75.0,15.0,20.0,576.0,0.0,0.0
5239,2018,2512.0,276.0,10.0,17.0,742.0,932.0,79.61
5239,2021,2436.0,245.0,17.0,12.0,649.0,921.0,70.47
5239,2024,2369.0,213.0,54.0,15.0,687.0,870.0,78.97
5240,2012,1119.0,587.0,20.0,56.0,1170.0,0.0,0.0
5240,2015,748.0,113.0,19.0,36.0,935.0,0.0,0.0
5240,2018,3921.0,451.0,29.0,16.0,1182.0,1461.0,80.9
5240,2021,3803.0,367.0,20.0,14.0,1000.0,1434.0,69.74
5240,2024,3723.0,305.0,61.0,16.0,1061.0,1367.0,77.62
5241,2012,917.0,481.0,5.0,21.0,908.0,0.0,0.0
5241,2015,576.0,97.0,19.0,27.0,715.0,0.0,0.0
5241,2018,3332.0,398.0,21.0,27.0,1021.0,1230.0,83.01
5241,2021,3266.0,300.0,12.0,7.0,896.0,1209.0,74.11
5241,2024,3151.0,232.0,51.0,19.0,922.0,1148.0,80.31
5242,2012,1090.0,494.0,19.0,47.0,1140.0,0.0,0.0
5242,2015,637.0,110.0,16.0,39.0,802.0,0.0,0.0
5242,2018,4089.0,443.0,24.0,20.0,1179.0,1521.0,77.51
5242,2021,3828.0,342.0,28.0,22.0,948.0,1495.0,63.41
5242,2024,3895.0,400.0,77.0,16.0,1059.0,1474.0,71.85
5243,2012,819.0,355.0,10.0,28.0,827.0,0.0,0.0
5243,2015,512.0,90.0,17.0,30.0,661.0,0.0,0.0
5243,2018,3138.0,368.0,11.0,19.0,890.0,1186.0,75.04
5243,2021,2878.0,246.0,18.0,16.0,717.0,1113.0,64.42
